,0
temp_uhlm_oleo,3.214344236074173
uhrv_pressao,8.832898556219803
temp_uhrv_oleo,8.023980828288867
distribuidor,10.481262088299452
velocidade,2.4979850263408028
posicao_rotor,6.3351542993965815
temp_manc_casq_comb,25.176974418332357
temp_manc_casq_esc,6.301660469448649
acumulador_energia,1637.1467811881744
tensao_fase_A,22.121444274930266
tensao_fase_B,22.667015013716465
tensao_fase_C,22.700966621239687
corrente_fase_A,129.20086622968998
corrente_fase_B,128.46218358136045
corrente_fase_C,129.0316046441092
corrente_neutro,1.9409284483437836
tensao_excitacao,9.2981343118107
corrente_excitacao,6.115495522496972
frequencia,6.507623326119303
potencia_ativa,523.094204534724
potencia_reativa,51.43781710789411
potencia_aparente,525.0007465568468
fp,0.3783246999102905
temp_enrol_A,6.189821709263112
temp_enrol_B,6.308725250465064
temp_enrol_C,6.287661632432956
temp_nucleo_estator_01,5.576803613259061
temp_nucleo_estator_02,5.382006735398719
temp_nucleo_estator_03,5.54515010810453
temp_tiristor_01,2.572365540811412e+22
temp_tiristor_02,15.234585559647208
temp_tiristor_03,5.364716192146839
temp_crowbar_01,8.283534167154434
temp_crowbar_02,6.0061524810077
temp_transf_excitacao,7.090493749839177
temp_casq_rad_comb,2.0025144057808593
temp_mancal_casq_guia,2.249498009427928
temp_mancal_cont_esc,3.1622919229544735
nivel_montante,0.4300174043942382
nivel_jusante,0.375337115795101
horimetro_eletrico,1443.0892871985727
correnteL_fase_A,12.778369499224281
correnteL_fase_B,12.770291505156264
correnteL_fase_C,12.911532836945186
