,uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
count,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0,392989.0
mean,0.0,36.56,125.04,40.03,0.01,23.63,290.02,27.53,0.0,53.74,42.94,3390.9,1820.22,1827.45,1838.76,0.0,219.63,218.99,223.34,14.64,109.5,72.04,6000.08,893.79,-66.1,896.47,99.93,44.5,45.23,45.26,44.03,42.91,42.83,2.383088748031114e+21,33.53,33.05,30.08,26.53,47.66,44.17,42.26,39.33,405.07,404.64,2741.67,0.0,0.0,0.0,21.54,21.92,21.63
std,0.0,5.06,24.91,8.65,0.09,16.09,131.33,34.64,0.0,23.62,9.02,1624.43,978.84,982.75,988.82,0.0,166.34,165.66,167.69,1.92,59.52,39.16,15.99,675.53,58.6,677.75,1.49,8.43,8.6,8.52,7.46,7.07,7.31,2.532620987147809e+22,33.24,5.94,8.16,6.06,9.34,5.44,6.0,5.45,0.86,0.99,1452.28,0.0,0.0,0.0,16.38,16.52,16.49
min,0.0,0.0,-250.0,0.0,0.0,-23.35,0.0,-38.4,0.0,-3276.8,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.0,-137.5,0.0,-183.0,-2202.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,-107479000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.63,397.36,9.2,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,34.2,122.98,33.8,0.0,11.41,356.0,7.4,0.0,51.2,35.5,2103.32,2315.25,2324.7,2338.35,0.0,46.0,46.0,51.0,13.0,123.0,80.92,5999.0,194.0,-108.0,195.0,100.0,39.6,40.1,40.2,39.7,38.7,38.4,23.6,28.3,28.9,25.2,22.5,41.8,43.6,41.1,36.9,405.04,404.5,1522.68,0.0,0.0,0.0,4.0,5.0,4.0
50%,0.0,37.6,128.09,38.8,0.0,29.02,358.0,11.3,0.0,56.8,47.1,3831.75,2340.45,2349.9,2364.6,0.0,277.0,275.0,282.0,15.0,138.0,90.79,6000.0,1127.0,-70.0,1130.0,100.0,45.9,46.6,46.5,45.2,44.0,43.9,27.8,32.5,33.6,29.6,26.4,49.0,45.9,44.2,40.8,405.24,404.78,2904.98,0.0,0.0,0.0,27.0,28.0,27.0
75%,0.0,40.5,135.04,44.8,0.0,34.89,361.0,21.95,0.0,59.3,50.2,4676.4,2355.15,2364.6,2379.3,0.0,340.0,340.0,345.0,16.0,145.0,95.39,6002.0,1384.0,0.0,1388.0,100.0,50.6,51.3,51.3,49.3,47.9,48.1,31.3,35.9,37.2,33.4,30.0,54.9,47.9,46.6,43.3,405.34,405.02,3971.42,0.0,0.0,0.0,34.0,34.0,34.0
max,0.0,45.9,166.62,124.3,1.0,98.57,549.0,103.96,0.0,3276.7,65.1,5586.58,2442.3,2443.35,2463.3,0.0,774.0,779.0,786.0,17.0,414.0,272.37,7507.0,3314.0,252.0,3324.0,100.0,71.1,73.1,73.0,65.4,62.5,63.8,2.71536e+23,3276.7,48.8,105.5,64.7,67.6,50.8,66.6,80.3,406.65,408.76,5026.95,0.0,0.0,0.0,76.0,76.0,77.0
