uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
0.0,31.2,114.053,34.6,0,-0.0244141,30,99.0,0,42.9,31.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.6,41.0,41.2,41.9,41.1,40.8,-107479000.0,33.1,34.0,45.4,38.2,37.2,39.1,35.6,34.3,404.525,404.469,9.2,0,0,0,0,0,0
0.0,31.2,129.258,34.6,0,-0.0488281,31,99.0,0,42.7,31.7,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.5,41.0,41.2,41.9,41.1,40.8,2.71536e+23,33.0,34.0,45.0,37.5,37.1,38.9,35.4,34.1,404.581,404.525,9.2,0,0,0,0,0,0
0.0,31.0,118.809,34.6,0,-0.0244141,31,99.0,0,42.4,31.6,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.5,41.0,41.1,41.8,41.0,40.8,0.0,32.9,33.8,44.1,37.3,37.1,38.8,35.2,33.9,404.637,404.582,9.2,0,0,0,0,0,0
0.0,30.9,112.129,34.6,0,-0.0244141,31,99.0,0,42.3,31.5,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.4,40.9,41.0,41.8,41.0,40.7,0.0,32.8,33.7,43.7,37.0,37.1,38.6,35.0,33.7,404.688,404.638,9.2,0,0,0,0,0,0
0.0,30.8,125.469,34.6,0,-0.0244141,31,99.0,0,42.0,31.4,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.4,40.8,41.0,41.7,41.0,40.6,4.16767e-08,32.7,33.6,42.7,36.5,37.1,38.5,35.0,33.5,404.744,404.694,9.2,0,0,0,0,0,0
0.0,30.7,116.709,34.6,0,-0.0488281,31,99.0,0,41.8,31.4,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.3,40.8,41.0,41.7,40.9,40.6,4.16767e-08,32.6,33.5,42.4,36.2,37.1,38.3,34.8,33.4,404.794,404.744,9.2,0,0,0,0,0,0
0.0,30.6,110.693,34.5,0,-0.0366211,31,99.0,0,41.7,31.3,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.3,40.8,40.9,41.7,40.9,40.6,-107479000.0,32.5,33.4,41.7,35.7,37.1,38.2,34.6,33.2,404.85,404.796,9.2,0,0,0,0,0,0
0.0,30.5,122.617,34.5,0,-0.0244141,31,99.0,0,41.5,31.3,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.2,40.7,40.9,41.6,40.8,40.5,2.71536e+23,32.4,33.3,41.3,35.4,37.1,38.1,34.5,33.1,404.9,404.846,9.2,0,0,0,0,0,0
0.0,30.4,114.902,34.5,0,-0.0366211,32,99.0,0,41.3,31.2,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.2,40.7,40.8,41.5,40.8,40.5,2.71536e+23,32.4,33.2,40.7,35.1,37.1,38.0,34.4,33.0,404.95,404.894,9.2,0,0,0,0,0,0
0.0,30.3,122.373,34.4,0,-0.0244141,31,99.0,0,41.1,31.1,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.1,40.6,40.8,41.5,40.7,40.4,-1.5923200000000002e-23,32.3,33.2,39.8,34.6,37.0,37.9,34.3,32.9,405.0,404.943,9.2,0,0,0,0,0,0
0.0,30.3,120.469,34.4,0,-0.0244141,32,99.0,0,41.0,31.1,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.1,40.5,40.7,41.5,40.7,40.4,-1.5923200000000002e-23,32.2,33.0,39.7,34.8,37.0,37.8,34.2,32.8,405.044,404.989,9.2,0,0,0,0,0,0
0.0,30.2,113.428,34.4,0,-0.0244141,32,99.0,0,40.8,31.0,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.0,40.5,40.6,41.5,40.7,40.4,4.16767e-08,32.1,33.0,39.3,34.5,37.0,37.6,34.1,32.7,405.087,405.033,9.2,0,0,0,0,0,0
0.0,30.2,128.34,34.4,0,-0.0366211,31,99.0,0,40.6,31.0,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,40.0,40.4,40.6,41.4,40.6,40.3,4.16767e-08,32.0,32.9,38.9,34.2,37.0,37.5,33.9,32.5,405.131,405.07,9.2,0,0,0,0,0,0
0.0,30.2,118.594,34.4,0,0.0,31,99.0,0,40.5,31.0,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.9,40.3,40.6,41.3,40.5,40.2,2.71536e+23,32.0,32.8,38.4,34.1,37.0,37.4,33.9,32.5,405.175,405.121,9.2,0,0,0,0,0,0
0.0,30.2,112.119,34.4,0,-0.0244141,31,99.0,0,40.3,30.9,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.9,40.3,40.5,41.3,40.5,40.2,2.71536e+23,31.9,32.7,38.1,33.8,36.9,37.3,33.7,32.3,405.212,405.16,9.2,0,0,0,0,0,0
0.0,30.1,125.625,34.4,0,-0.0244141,32,99.0,0,40.2,30.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.8,40.3,40.5,41.2,40.5,40.2,0.0,31.8,32.6,37.6,33.5,36.9,37.2,33.6,32.3,405.25,405.198,9.2,0,0,0,0,0,0
0.0,30.1,117.012,34.3,0,-0.0244141,32,99.0,0,40.0,30.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.8,40.2,40.4,41.2,40.4,40.1,-1.5923200000000002e-23,31.8,32.5,37.5,33.4,36.9,37.1,33.6,32.2,405.287,405.234,9.2,0,0,0,0,0,0
0.0,30.1,111.064,34.3,0,-0.0366211,32,99.0,0,39.8,30.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.8,40.1,40.3,41.2,40.3,40.1,-1.5923200000000002e-23,31.6,32.5,37.2,33.3,36.9,37.0,33.5,32.1,405.325,405.272,9.2,0,0,0,0,0,0
0.0,30.0,122.988,34.3,0,-0.0366211,31,99.0,0,39.7,30.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.7,40.1,40.3,41.1,40.3,40.1,-107479000.0,31.6,32.4,36.7,32.8,36.9,36.9,33.4,32.0,405.362,405.306,9.2,0,0,0,0,0,0
0.0,30.0,115.352,34.2,0,-0.0366211,32,99.0,0,39.6,30.7,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.6,40.1,40.3,41.0,40.3,40.0,-107479000.0,31.5,32.3,36.4,33.0,36.9,36.8,33.3,32.0,405.4,405.344,9.2,0,0,0,0,0,0
0.0,30.0,109.971,34.2,0,0.0,31,99.0,0,39.5,30.7,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.6,40.0,40.2,41.0,40.2,40.0,2.71536e+23,31.4,32.2,36.2,32.6,36.9,36.7,33.3,31.9,405.431,405.378,9.2,0,0,0,0,0,0
0.0,29.9,121.484,34.2,0,-0.0244141,31,99.0,0,39.3,30.6,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.6,39.9,40.1,41.0,40.2,39.9,2.71536e+23,31.4,32.2,35.9,32.3,36.9,36.6,33.2,31.9,405.462,405.408,9.2,0,0,0,0,0,0
