,0
temp_uhlm_oleo,38.560642296660895
uhrv_pressao,129.4735211124368
temp_uhrv_oleo,40.50513046339346
distribuidor,29.907987244409068
velocidade,359.52803193204136
posicao_rotor,10.917839971414041
temp_manc_casq_comb,57.97024052059066
temp_manc_casq_esc,46.607435964757784
acumulador_energia,3190.222408467574
tensao_fase_A,2346.9120178869957
tensao_fase_B,2356.2412303208157
tensao_fase_C,2370.8082638448063
corrente_fase_A,282.09515801508195
corrente_fase_B,281.2684079511049
corrente_fase_C,286.8961145139902
corrente_neutro,14.420912695379359
tensao_excitacao,141.00636447327753
corrente_excitacao,92.76944629340058
frequencia,6000.387800816912
potencia_ativa,1147.9674863487865
potencia_reativa,-84.61523684814001
potencia_aparente,1151.364792332056
fp,99.93750851642965
temp_enrol_A,47.364004001475635
temp_enrol_B,48.16473217698221
temp_enrol_C,48.13779001558715
temp_nucleo_estator_01,46.43258975901411
temp_nucleo_estator_02,45.12546753121581
temp_nucleo_estator_03,45.14296069314599
temp_tiristor_01,2.459164675345392e+21
temp_tiristor_02,34.65855548059252
temp_tiristor_03,34.363418403464394
temp_crowbar_01,30.684461379445576
temp_crowbar_02,26.580569578814778
temp_transf_excitacao,50.645299761706156
temp_casq_rad_comb,46.610894050629966
temp_mancal_casq_guia,45.042382406801174
temp_mancal_cont_esc,41.56088657278931
nivel_montante,405.2258292094426
nivel_jusante,404.7537121961919
horimetro_eletrico,2555.9486505060004
correnteL_fase_A,27.66705994569426
correnteL_fase_B,28.150244774651117
correnteL_fase_C,27.774498236891347
