,Distribuidor,Rotor Atual,Rotor Otimizado,Potência Atual,Potência Otimizada,Ganho (%)
0,10.6323,0.5371089999999974,2.0669870376586914,173.0,172.6290283203125,-0.2144344969291907
1,19.9951,5.285639999999998,23.796306610107425,719.0,721.314208984375,0.3218649491481223
2,21.167,5.175779999999999,22.82225799560547,753.0,754.570068359375,0.2085084142596281
3,19.873000000000005,6.152339999999998,0.3802022933959961,629.9999999999999,628.7283935546875,-0.201842292906728
4,32.3975,11.181599999999998,14.259756088256836,1311.0,1311.393310546875,0.0300008044908466
5,36.0962,14.160199999999998,13.037919998168944,1385.0,1386.5849609375,0.1144376128158844
6,36.9995,15.002399999999998,10.694666862487791,1498.0,1500.458740234375,0.1641348621078104
7,30.4443,9.82666,15.057661056518556,1230.0,1233.67724609375,0.2989630970528455
8,15.9424,4.999999999999998,0.4850025177001953,380.0,381.385009765625,0.3644762541118421
9,44.0674,21.2158,8.506943702697754,1828.0,1830.5634765625,0.1402339476203501
10,11.3037,1.5502899999999986,0.5286865234375,190.9999999999999,189.73101806640625,-0.6643884469076633
11,41.3818,19.0552,5.364694118499756,1730.0,1734.821533203125,0.2787013412210983
12,35.9009,13.855,10.690814018249512,1417.0,1418.044921875,0.0737418401552575
13,21.7896,5.017089999999997,1.2478952407836914,817.0,818.4948120117188,0.1829635265261628
14,20.7153,4.418949999999999,0.2107744216918945,737.0,737.5665283203125,0.0768695142893487
15,21.3745,5.999999999999998,24.43874740600586,725.0,732.3270874023438,1.010632745150862
16,38.1836,16.149899999999995,4.802280902862549,1536.0,1538.815185546875,0.1832803090413411
17,52.124,25.6226,14.727428436279297,2003.0,2007.2919921875,0.2142781920868697
18,38.0005,15.856899999999998,3.609038829803467,1546.0,1550.3250732421875,0.2797589419267464
19,30.4077,10.046399999999998,14.238373756408691,1188.0,1188.9029541015625,0.0760062375052609
20,28.3569,8.654789999999998,18.728355407714844,1134.0,1136.4305419921875,0.2143335090112433
21,31.0425,10.5957,14.483670234680176,1243.0,1246.2532958984375,0.2617293562701126
22,30.4688,10.424799999999998,16.22591781616211,1151.0,1153.58447265625,0.2245414992397915
23,28.772,8.728029999999999,7.081299781799316,1083.0,1084.7620849609375,0.1627040591816712
24,35.2905,12.914999999999996,12.176856994628906,1298.0,1298.6556396484375,0.0505115291554314
25,29.2603,9.716799999999996,10.570319175720217,1160.0,1127.44677734375,-2.8063122979525863
26,26.4404,7.946779999999999,7.695682525634766,970.0,969.3985595703124,-0.0620041680090206
27,10.6567,4.064939999999999,0.1685895919799804,212.0,211.30279541015625,-0.3288700895489387
28,47.8149,23.0469,12.996015548706056,1984.0,1987.4814453125,0.17547607421875
29,24.6826,6.628419999999998,0.2344064712524414,962.0,961.008544921875,-0.1030618584329522
30,34.729,12.719699999999998,2.8597335815429688,1378.0,1382.474853515625,0.3247353784923802
31,24.2554,6.347659999999999,24.806947708129883,923.0,940.1560668945312,1.8587288076415225
32,51.28170000000001,24.9878,19.75824546813965,2100.0,2103.59814453125,0.1713402157738095
33,13.8184,5.078119999999998,0.1685895919799804,213.0,211.35760498046875,-0.7710774739583333
34,30.2612,9.753419999999998,10.403312683105469,1176.0,1176.5755615234375,0.0489423064147533
35,18.4326,3.735349999999999,0.3802022933959961,613.0,612.86669921875,-0.0217456413132137
36,48.5962,23.3887,12.397022247314451,1967.0,1970.579833984375,0.1819946102885104
37,14.4287,5.163569999999999,0.4850025177001953,287.9999999999999,287.077392578125,-0.3203497992621134
38,29.0039,8.972169999999998,23.09416961669922,1111.0,1127.83544921875,1.5153419638838883
39,12.133799999999995,0.903319999999999,0.9067344665527344,194.00000000000023,194.96820068359372,0.4990725173162482
40,11.901900000000005,4.321289999999999,0.8014097213745117,191.9999999999999,192.76129150390625,0.396505991617898
41,37.3535,15.1978,3.1170778274536133,1506.0,1510.571533203125,0.303554661562085
42,39.856,17.7612,4.645411491394043,1682.0,1687.11474609375,0.3040871637187871
43,46.9971,22.8394,17.10718536376953,2037.0,2037.9429931640625,0.0462932333854933
44,44.4092,21.7041,9.46087646484375,1842.0,1844.1708984375,0.1178555069218241
45,20.2637,4.467769999999997,0.6580390930175781,723.0,722.230224609375,-0.106469625259336
46,36.7554,14.6362,4.281766414642334,1519.0,1524.3292236328125,0.350837632179888
47,30.249,9.80225,13.964869499206545,1242.0,1245.4036865234375,0.2740488344152576
48,26.7822,7.250979999999998,1.2225313186645508,970.0,969.5694580078124,-0.0443857723904639
49,36.7554,14.807099999999998,3.347212791442871,1459.0,1462.745849609375,0.2567408916638108
50,31.4941,10.485799999999998,12.129783630371094,1294.0,1294.199462890625,0.0154144428612828
51,30.5908,10.791,16.05865478515625,1133.0,1136.744140625,0.3304625441306266
52,29.0405,8.764649999999998,12.015110969543455,1172.0,1172.9022216796875,0.076981371986988
53,35.3394,13.439899999999998,5.082103729248047,1385.0,1392.626708984375,0.5506649086191336
54,30.1514,9.716799999999996,11.898945808410645,1209.0,1211.9918212890625,0.2474624722136062
55,33.2153,11.669899999999998,11.55145263671875,1356.0,1356.1636962890625,0.0120719977184734
56,29.5288,9.680179999999998,12.761244773864746,1151.0,1150.3624267578125,-0.0553929836826672
57,20.5811,4.418949999999999,0.4994993209838867,682.0,683.033935546875,0.1516034526209677
58,18.4082,5.468749999999998,22.302978515625,491.0,489.79144287109375,-0.2461419814473014
59,26.6968,7.446289999999999,23.048534393310547,1034.0,1053.067626953125,1.84406450223646
60,29.2725,9.155269999999998,13.086966514587402,1197.0,1199.322265625,0.1940071532999164
