,uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
tensao_fase_C,,0.73,0.33,0.09,-0.16,0.74,0.98,-0.89,,0.33,0.75,-0.24,1.0,1.0,1.0,,0.72,0.72,0.72,-0.23,0.99,0.99,0.0,0.72,-0.61,0.72,-0.02,0.65,0.65,0.65,0.61,0.6,0.6,0.01,0.06,0.4,0.14,0.01,0.59,0.82,0.85,0.75,0.34,0.21,-0.25,,,,0.71,0.72,0.71
tensao_neutro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corrente_fase_A,,0.65,0.21,-0.02,-0.11,0.94,0.7,-0.52,,0.26,0.84,-0.39,0.72,0.72,0.72,,1.0,1.0,1.0,-0.38,0.79,0.79,0.03,1.0,-0.93,1.0,0.0,0.74,0.76,0.75,0.65,0.63,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.65,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
corrente_fase_B,,0.65,0.21,-0.03,-0.12,0.94,0.7,-0.52,,0.26,0.84,-0.4,0.72,0.72,0.72,,1.0,1.0,1.0,-0.39,0.79,0.79,0.03,1.0,-0.93,1.0,0.0,0.75,0.76,0.76,0.66,0.64,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.65,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
corrente_fase_C,,0.66,0.21,-0.02,-0.12,0.94,0.7,-0.52,,0.26,0.84,-0.4,0.72,0.72,0.72,,1.0,1.0,1.0,-0.38,0.8,0.8,0.03,1.0,-0.93,1.0,0.0,0.75,0.76,0.76,0.66,0.64,0.66,0.01,0.03,0.25,0.02,-0.11,0.53,0.65,0.69,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
corrente_neutro,,-0.12,-0.0,0.53,-0.07,-0.37,-0.22,0.09,,-0.05,-0.36,0.99,-0.23,-0.23,-0.23,,-0.38,-0.39,-0.38,1.0,-0.25,-0.25,-0.0,-0.38,0.43,-0.38,0.02,-0.19,-0.2,-0.2,-0.14,-0.13,-0.14,-0.18,0.07,-0.01,-0.11,0.06,0.11,-0.15,-0.16,-0.18,-0.12,0.07,0.98,,,,-0.38,-0.38,-0.38
tensao_excitacao,,0.76,0.32,0.1,-0.16,0.81,0.97,-0.86,,0.33,0.8,-0.27,0.99,0.99,0.99,,0.79,0.79,0.8,-0.25,1.0,1.0,0.0,0.79,-0.69,0.79,-0.02,0.71,0.72,0.71,0.67,0.65,0.66,0.02,0.06,0.42,0.14,0.02,0.62,0.83,0.87,0.79,0.36,0.21,-0.27,,,,0.79,0.79,0.79
corrente_excitacao,,0.76,0.32,0.1,-0.16,0.81,0.97,-0.86,,0.33,0.8,-0.27,0.99,0.99,0.99,,0.79,0.79,0.8,-0.25,1.0,1.0,0.0,0.79,-0.69,0.79,-0.02,0.71,0.72,0.71,0.67,0.65,0.66,0.02,0.06,0.42,0.14,0.02,0.62,0.83,0.87,0.79,0.36,0.21,-0.27,,,,0.79,0.79,0.79
frequencia,,0.04,0.01,0.01,-0.0,0.02,0.01,-0.0,,0.01,0.04,-0.01,0.0,0.0,0.0,,0.03,0.03,0.03,-0.0,0.0,0.0,1.0,0.03,-0.03,0.03,0.07,0.03,0.03,0.03,0.02,0.02,0.02,-0.0,0.0,0.02,0.01,0.0,0.02,0.04,0.04,0.04,0.0,-0.0,-0.01,,,,0.03,0.03,0.03
potencia_ativa,,0.65,0.21,-0.02,-0.12,0.94,0.7,-0.52,,0.26,0.84,-0.4,0.72,0.72,0.72,,1.0,1.0,1.0,-0.38,0.79,0.79,0.03,1.0,-0.93,1.0,0.01,0.75,0.76,0.76,0.66,0.64,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.65,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
